"","AdmArea","Month","Year","TotalAmount"
"1","Северный административный округ","Апрель",2016,1416996034
"2","Северо-Восточный административный округ","Апрель",2016,1593702061
"3","Восточный административный округ","Апрель",2016,1835590452
"4","Юго-Восточный административный округ","Апрель",2016,1684636395
"5","Южный административный округ","Апрель",2016,1903867370
"6","Юго-Западный административный округ","Апрель",2016,1712782380
"7","Западный административный округ","Апрель",2016,1431693430
"8","Северо-Западный административный округ","Апрель",2016,1035030329
"9","Зеленоградский административный округ","Апрель",2016,332136628
"10","Новомосковский административный округ","Апрель",2016,110671303
"11","Троицкий административный округ","Апрель",2016,66441783
"12","Центральный административный округ","Май",2016,1046211200
"13","Северный административный округ","Май",2016,1418905219
"14","Северо-Восточный административный округ","Май",2016,1608130413
"15","Восточный административный округ","Май",2016,1825260022
"16","Юго-Восточный административный округ","Май",2016,1694719212
"17","Южный административный округ","Май",2016,1886927998
"18","Юго-Западный административный округ","Май",2016,1733572340
"19","Западный административный округ","Май",2016,1427835744
"20","Северо-Западный административный округ","Май",2016,1032963856
"21","Зеленоградский административный округ","Май",2016,336461794
"22","Новомосковский административный округ","Май",2016,117810780
"23","Троицкий административный округ","Май",2016,70173639
"24","Центральный административный округ","Июнь",2016,1035468984
"25","Северный административный округ","Июнь",2016,1395973218
"26","Северо-Восточный административный округ","Июнь",2016,1578636903
"27","Восточный административный округ","Июнь",2016,1795163778
"28","Юго-Восточный административный округ","Июнь",2016,1659457540
"29","Южный административный округ","Июнь",2016,1845444457
"30","Юго-Западный административный округ","Июнь",2016,1708870209
"31","Западный административный округ","Июнь",2016,1399188285
"32","Северо-Западный административный округ","Июнь",2016,1008979222
"33","Зеленоградский административный округ","Июнь",2016,329023226
"34","Новомосковский административный округ","Июнь",2016,111595303
"35","Троицкий административный округ","Июнь",2016,64914899
"36","Центральный административный округ","Июль",2016,1
"37","Северный административный округ","Июль",2016,1387149539.41
"38","Северо-Восточный административный округ","Июль",2016,1570840917.21
"39","Восточный административный округ","Июль",2016,1783038816.31
"40","Юго-Восточный административный округ","Июль",2016,1652866574.67
"41","Южный административный округ","Июль",2016,1836219667.98
"42","Юго-Западный административный округ","Июль",2016,1695226526.04
"43","Западный административный округ","Июль",2016,1390229155.54
"44","Северо-Западный административный округ","Июль",2016,1003355026
"45","Зеленоградский административный округ","Июль",2016,327614175.64
"46","Новомосковский административный округ","Июль",2016,108434946
"47","Троицкий административный округ","Июль",2016,63910820.08
"48","Центральный административный округ","Август",2016,1029563915
"49","Северный административный округ","Август",2016,1396443463
"50","Северо-Восточный административный округ","Август",2016,1572388484
"51","Восточный административный округ","Август",2016,1811417636
"52","Юго-Восточный административный округ","Август",2016,1659243008
"53","Южный административный округ","Август",2016,1866206721
"54","Юго-Западный административный округ","Август",2016,1714265991
"55","Западный административный округ","Август",2016,1413210959
"56","Северо-Западный административный округ","Август",2016,1013352313
"57","Зеленоградский административный округ","Август",2016,333175975
"58","Новомосковский административный округ","Август",2016,116274222.86
"59","Троицкий административный округ","Август",2016,59967821.14
"60","Центральный административный округ","Сентябрь",2016,1042438615
"61","Северный административный округ","Сентябрь",2016,1428741988
"62","Северо-Восточный административный округ","Сентябрь",2016,1593413654
